scenario,alpha,mean_P,min_P,delta_pct,Q4_high
Baseline,1.0,0.454505,0.0,0.0,0.004821
No drones (ranger-only + sensors),1.0,0.370583,0.0,-18.464304,0.0
No sensors (drones + rangers only),1.0,0.42291,0.0,-6.951486,0.0
Rangers only (no technology),1.0,0.318399,0.0,-29.945917,0.0
Budget cut 50% (all resources halved),1.0,0.3259,0.0,-28.29558,0.0
Double all resources,1.0,0.591977,0.0,30.246683,0.065292
"Shift drones→sensors (0 drones, 70 sensors)",1.0,0.385666,0.0,-15.145763,0.0
"Shift sensors→drones (40 drones, 0 sensors)",1.0,0.466997,0.0,2.748666,0.0
"IUCN minimum (1 ranger/100km², ~230 rangers)",1.0,0.470224,0.0,3.458489,0.004821
"Current Etosha staff (295 rangers, as reported)",1.0,0.495999,0.0,9.129645,0.004821
"Technology upgrade (α=1.5, better AI)",1.5,0.534192,0.0,17.532847,0.02028
"Low efficiency (α=0.5, harsh conditions)",0.5,0.3259,0.0,-28.29558,0.0
