drones,rangers,mean_P,min_P,frac_below_30,frac_below_50,Q1_low,Q2_medlow,Q3_medhigh,Q4_high
20,50,0.329269,0.0,0.559942,0.611111,0.786503,0.497788,0.032783,0.0
20,75,0.355667,0.0,0.527047,0.593567,0.799681,0.566968,0.056021,0.0
20,100,0.376805,0.0,0.486842,0.578947,0.816476,0.600396,0.090347,0.0
20,125,0.398851,0.0,0.445906,0.557749,0.834019,0.618563,0.142821,0.0
20,150,0.419352,0.0,0.445906,0.556287,0.852618,0.619703,0.200497,0.004591
20,200,0.453099,0.0,0.445906,0.47807,0.867904,0.712615,0.227051,0.004828
20,250,0.477955,0.0,0.445906,0.445906,0.879217,0.780344,0.24743,0.004828
20,300,0.496453,0.0,0.445906,0.445906,0.887725,0.82898,0.26428,0.004828
20,400,0.520914,0.0,0.445906,0.445906,0.89899,0.890064,0.289773,0.004828
20,500,0.535244,0.0,0.445906,0.445906,0.905445,0.923421,0.307283,0.004828
20,700,0.54934,0.0,0.445906,0.445906,0.911333,0.953533,0.327666,0.004828
20,1000,0.556529,0.0,0.445906,0.445906,0.913779,0.967319,0.340188,0.004828
